Date,Property_#,sum_unit,sum_unit_occ,sum_unit_vct,sqft,sqft_occ,sqft_vct,rent_rev,sqft_cc,sqft_ncc,Estimate_ROOMS_Totalhousingunits_Medianrooms,Estimate_VALUE_Owner_occupiedunits_Mediandollars,Percent_UNITSINSTRUCTURE_Totalhousingunits_1_unitdetached,Percent_HOUSINGTENURE_Occupiedhousingunits_Renter_occupied,Household_Size,Pop,Supply,MHHI,Office,Maturity,AcquiredDate,Year,Month,Active,occ_rate_per_sqft,perc_cc,perc_ncc,min_date,years_of_growth,first_occ_rate_per_sqft
2025-09-01,L001A,100.0,89.5,10.5,13400.0,11955.0,1445.0,13295.151723333332,4700.0,8700.0,5.6,153800.0,58.2,39.0,2.4305999999999996,14666.0,9.575003409245875,62423.0,False,True,2016-01-01,2025.0,9.0,True,1.112099684093127,0.35074626865671643,0.6492537313432836,2018-03-01,7.5044490075290895,0.6545830725773303
2025-09-01,L001O,339.6,291.73333333333335,47.86666666666667,37343.333333333336,33592.5,3750.8333333333335,32093.61695678196,0.0,37343.333333333336,5.6,153800.0,58.2,39.0,2.4305999999999996,12357.0,10.007445172776563,47401.0,True,True,2016-01-01,2025.0,9.0,True,0.9553804258921473,0.0,1.0,2018-03-01,7.5044490075290895,0.5170573710979508
2025-09-01,L002A,166.4,134.06666666666666,32.333333333333336,15298.333333333334,12421.666666666668,2876.666666666667,15199.742110817997,1900.0,13398.333333333334,5.8428571428571425,133000.0,66.1,16.95714285714286,2.6644785714285715,12289.0,8.839531288143869,46614.0,False,True,2016-01-01,2025.0,9.0,True,1.2236475602429622,0.12419653557032356,0.8758034644296765,2018-03-01,7.5044490075290895,0.5972809415609764
2025-09-01,L002B,100.76666666666667,87.93333333333334,12.833333333333334,12853.333333333332,11256.666666666666,1596.6666666666667,11965.659036454888,6550.0,6303.333333333333,5.733333333333333,151240.0,60.0,26.616666666666664,2.5074383333333334,11725.0,9.264733475479744,43066.0,False,True,2016-01-01,2025.0,9.0,True,1.0629842199989536,0.5095954356846474,0.49040456431535273,2018-03-01,7.5044490075290895,0.6152266963552964
2025-09-01,L002O,477.1,431.3666666666667,45.733333333333334,59488.333333333336,54323.333333333336,5165.0,51985.44408656971,6650.0,52838.333333333336,5.685714285714286,145016.66666666666,58.51428571428571,27.271428571428572,2.65025,11682.0,9.298835815784969,42731.0,True,True,2016-01-01,2025.0,9.0,True,0.956963442717734,0.11178662482839773,0.8882133751716023,2018-03-01,7.5044490075290895,0.5314810661773753
2025-09-01,L003A,59.0,56.16666666666667,2.833333333333333,8670.0,8360.5,309.5,5410.20978,0.0,8670.0,6.4,148200.0,81.2,19.4,2.9597,4595.0,2.003264417845484,57225.0,False,True,2016-01-01,2025.0,9.0,True,0.6471155768195682,0.0,1.0,2018-03-01,7.5044490075290895,0.44760103002163665
2025-09-01,L003B,115.03333333333333,104.26666666666667,10.766666666666666,14953.333333333334,13795.000000000002,1158.3333333333333,11519.6120554132,7450.0,7503.333333333334,6.633333333333333,132400.0,71.39999999999999,18.3,2.5681599999999998,10428.0,5.658899117759877,58349.0,True,True,2016-01-01,2025.0,9.0,True,0.8350570536725769,0.4982166740971912,0.5017833259028087,2018-03-01,7.5044490075290895,0.5505237648031762
2025-09-01,L003O,137.96666666666667,112.80000000000001,25.166666666666664,19743.333333333336,17135.0,2608.333333333333,10623.64620967371,0.0,19743.333333333336,6.633333333333333,132400.0,71.39999999999999,18.3,2.5681599999999998,23523.0,6.624707732857203,46853.0,False,True,2016-01-01,2025.0,9.0,True,0.6199968607921629,0.0,1.0,2018-03-01,7.5044490075290895,0.43716966958088777
2025-09-01,L006A,33.13333333333333,29.266666666666666,3.8666666666666667,4338.333333333333,3623.333333333333,715.0,3830.3145662940783,0.0,4338.333333333333,5.7,98700.0,58.6,26.3,2.68847,4721.0,1.7439101885193817,41169.0,False,True,2016-01-01,2025.0,9.0,True,1.057124535315753,0.0,1.0,2018-03-01,7.5044490075290895,0.5836153478380189
2025-09-01,L006B,29.0,25.066666666666666,3.9333333333333336,3500.0,2956.6666666666665,543.3333333333334,3053.109273333333,0.0,3500.0,5.7,98700.0,58.6,26.3,2.68847,4585.0,1.7956379498364232,42635.0,False,True,2016-01-01,2025.0,9.0,True,1.032618694475761,0.0,1.0,2018-03-01,7.5044490075290895,0.597172958302492
2025-09-01,L006O,75.0,71.33333333333333,3.6666666666666665,8650.0,8189.166666666667,460.8333333333333,7701.243815555556,0.0,8650.0,5.2,84500.0,49.2,24.4,2.57368,5071.0,5.018931177282587,24587.0,False,True,2016-01-01,2025.0,9.0,True,0.9404184978799904,0.0,1.0,2018-03-01,7.5044490075290895,0.5968923642568152
2025-09-01,L009O,35.0,32.1,2.9000000000000004,2950.0,2745.833333333333,204.16666666666669,3217.9315500000002,0.0,2950.0,5.966666666666666,91700.0,71.0,27.833333333333332,2.510375,8253.0,0.3665333818005574,33313.0,False,True,2016-01-01,2025.0,9.0,True,1.1719325827010625,0.0,1.0,2018-03-01,7.5044490075290895,0.632945019157088
2025-09-01,L010A,419.0333333333333,354.06666666666666,64.96666666666667,50460.0,44880.833333333336,5579.166666666667,46439.71430736745,7500.0,42960.0,5.900000000000001,182700.0,71.1,28.399999999999995,2.4675199999999995,26794.0,8.459617824886168,75656.0,False,True,2016-01-01,2025.0,9.0,True,1.0347337796171516,0.14863258026159334,0.8513674197384067,2018-03-01,7.5044490075290895,0.6370635607850427
